员工编号,员工名称,部门名称,部门编号,身份证号,性别
1,武振宇,研发部,100000,110223199110000001,男
2,谢轩,研发部,100000,110223199110000002,男
3,俞俊强,研发部,100000,110223199110000003,男
4,管闯,研发部,100000,110223199110000004,男
5,陆兴,研发部,100000,110223199110000005,男
6,郭小伟,研发部,100000,110223199110000006,男
7,祁朅,研发部,100000,110223199110000007,男
8,方奇昌,研发部,100000,110223199110000008,男
9,楼周侃,研发部,100000,110223199110000009,男
10,刘超,研发部,100000,110223199110000010,男
11,龚向阳,研发部,100000,110223199110000011,男
12,林哨,研发部,100000,110223199110000012,男
13,李宾,研发部,100000,110223199110000013,男
14,过亦忠,研发部,100000,110223199110000014,男
15,李宝娟,研发部,100000,110223199110000015,女
16,沈俊杰,研发部,100000,110223199110000016,男
17,戴嘉琪,研发部,100000,110223199110000017,男
18,凌雨来,研发部,100000,110223199110000018,男
19,林大超,研发部,100000,110223199110000019,男
20,许程超,研发部,100000,110223199110000020,男
21,黄甫姚,研发部,100000,110223199110000021,男
22,徐磊,研发部,100000,110223199110000022,男
23,邵萃明,研发部,100000,110223199110000023,男
24,徐煜强,研发部,100000,110223199110000024,男
25,余桢慧,研发部,100000,110223199110000025,男
26,陈鹏武,研发部,100000,110223199110000026,男
27,陈俊,研发部,100000,110223199110000027,男
28,陈柯,研发部,100000,110223199110000028,男
29,丁礼春,研发部,100000,110223199110000029,男
30,冯磊,研发部,100000,110223199110000030,男
31,喻智奇,研发部,100000,110223199110000031,男
32,周靖杰,研发部,100000,110223199110000032,男
33,沈嘉,研发部,100000,110223199110000033,男
34,翁嘉豪,研发部,100000,110223199110000034,男
35,李忠泽,研发部,100000,110223199110000035,男
36,何如涛,研发部,100000,110223199110000036,男
37,邢志亮,研发部,100000,110223199110000037,男
38,姚凯强,研发部,100000,110223199110000038,男
39,张书凡,研发部,100000,110223199110000039,男
40,姚超玲,研发部,100000,110223199110000040,女
41,何珊,研发部,100000,110223199110000033,女
42,蒋泉海,研发部,100000,110223199110000034,男
43,储佳佳,研发部,100000,110223199110000035,女
44,詹星星,研发部,100000,110223199110000036,男
45,张加庆,研发部,100000,110223199110000037,男
46,赵良梁,研发部,100000,110223199110000038,男
47,曾老师,研发部,100000,110223199110000039,男
48,楼荣伟,研发部,100000,110223199110000040,男



